RAMP_TO_RAMP,AIR_TIME,DISTANCE
2455,1718,419
5593,4826,1024
4860,3962,1024
2350,1760,391
2286,1747,391
3266,2559,602
3185,2431,602
5368,4547,1184
4653,4007,1184
5309,4654,1123
1508,789,120
1635,926,120
2938,2238,524
4063,3280,809
3688,2948,649
3705,2890,649
4205,3476,844
3347,2703,594
3246,2564,594
4303,3398,809
3148,2541,573
12598,11911,3365
3800,3191,836
11691,10842,3365
4260,3393,862
2820,2096,420
4779,4153,977
4553,3799,1024
6067,5545,1610
4374,3823,909
7565,6396,1558
6491,5951,1506
4624,3833,1014
4162,3286,775
5787,5062,1201
6232,5512,1337
5675,4752,1154
6180,5492,1520
3028,2451,551
5404,4443,1199
5250,4502,1199
3878,3036,775
5128,4413,1201
5439,4776,1337
3491,2603,641
5717,5053,1452
3450,2644,628
6810,6007,1620
4050,3318,872
6681,6033,1709
4667,4009,1062
2729,1901,472
4752,4091,991
6191,5439,1558
6208,5487,1558
5341,4699,1290
4033,3459,853
5069,4380,1024
2552,1925,391
3564,2897,770
6227,5537,1506
3817,2955,641
3416,2507,628
7391,6495,1620
6637,5973,1520
4541,3779,872
7752,6635,1709
5112,4362,1062
3092,2257,472
4553,3634,991
7638,6518,1558
7504,6384,1558
3001,2338,551
6090,5329,1290
4209,3337,853
4603,3723,1024
2672,1701,391
4169,3368,770
6733,5890,1506
3221,2597,641
4365,3529,862
3487,2775,680
4203,3312,862
5155,4398,1024
4477,3650,1024
4599,3906,1048
5021,4404,1048
7604,6581,1558
2886,2101,455
2997,2194,455
3340,2622,524
4913,4164,916
2903,2205,420
5148,4188,911
4532,3814,916
2329,1792,420
6900,6119,1620
6569,5856,1546
3376,2664,602
3153,2509,602
4110,3512,909
4862,4149,1123
6215,5120,1199
4198,3613,853
2588,1925,391
4610,3454,853
2633,1842,391
4817,3976,1024
5268,4641,1024
4421,3752,1024
6998,6327,1626
8730,7221,1626
3343,2551,391
3023,2141,391
4383,3619,775
5275,4274,1069
8321,7568,1754
6065,5335,1201
4399,3742,846
4041,3350,775
7284,6571,1754
3486,2917,651
4053,3534,819
8048,6949,1558
3774,3246,804
5091,4255,1083
4425,3685,896
5007,4061,896
4935,4330,1024
3039,2289,483
4792,3752,834
6306,5490,1199
3104,2419,472
5598,4851,1199
4849,4203,896
3470,2857,639
5324,4588,977
3036,2324,533
3548,2783,533
4790,3891,872
4078,3300,771
3811,3040,627
3852,2913,641
4141,3246,639
4440,3709,896
4709,3949,888
4298,3322,641
7572,6824,1703
6357,5390,1123
2594,1937,423
5559,4811,1123
2439,1604,300
6186,5301,1015
3730,2946,641
4028,3109,641
8453,7373,1620
4981,4290,896
4823,3969,853
4599,3872,846
4983,4254,1014
7091,6310,1558
6138,5525,1123
4302,3672,836
7682,7042,1452
4898,4266,991
5764,4799,1123
4926,4147,977
5298,4601,977
2701,2001,349
2755,1957,349
3577,2866,563
6050,5287,1199
6388,5509,1085
5408,4377,911
3682,2803,563
3616,2809,483
4208,3403,616
5772,5082,1201
9160,7881,1605
5435,4701,967
4877,3992,809
4225,3266,563
5626,4967,1024
6940,5956,1199
8209,7326,1626
9777,7978,1626
2512,1800,300
4034,3194,563
8392,7529,1491
4055,3206,641
5059,4362,1015
7800,6991,1546
3006,2287,472
9412,8153,1605
5603,4641,888
3676,3063,649
5656,5026,1154
7631,6880,1546
7428,6723,1506
8330,7622,1546
5210,4278,752
3862,3004,516
3745,2811,516
5541,4479,967
8039,7112,1620
5041,4316,804
6008,5144,1024
3652,2725,423
6025,5396,991
5355,4405,1024
4142,3552,649
4302,3403,589
3658,2895,589
5546,4438,862
4713,3713,639
3470,2829,296
5131,4503,853
4704,3576,649
2945,2083,300
5363,4332,853
5008,4110,692
4365,3565,692
3375,2592,406
6226,4846,862
4882,3797,641
4798,3951,752
4203,3363,628
5316,4588,770
3414,2686,296
3091,2212,391
6505,5414,850
4054,2994,495
3055,2009,300
3834,2740,391
4417,3436,495
5368,4457,752
6045,5170,909
9261,8474,1491
6279,5265,1024
7447,6356,1024
3363,2603,391
6219,4925,872
3442,2561,406
9454,8507,1436
6821,5475,1024
7608,6287,1199
7151,6100,1123
9142,8249,1546
5891,5018,853
5276,4269,680
5769,4878,896
5738,5015,853
5606,4458,770
5438,4479,637
8760,7661,1436
6771,5191,888
7721,5849,888
4779,3533,589
7436,6365,948
6976,5930,948
10944,9732,1754
6872,5501,888
8211,7248,1123
6514,5438,826
6332,5405,770
3677,2986,289
12167,10397,1620
5615,4337,679
6448,5455,898
10449,9090,1605
5499,4606,826
9824,8590,1558
11607,10185,1605
10626,9479,1546
6679,5473,862
5994,5135,862
6835,5581,977
3813,3048,289
10832,9503,1626
8314,7205,1123
13164,10873,1626
4841,3611,541
8905,7950,1201
10709,9213,1605
9288,8556,1290
7921,6802,1123
10779,9185,1620
6122,4926,775
4206,3124,406
4283,2945,406
7125,5865,845
6114,4972,679
7919,6580,898
11230,10051,1546
7262,6059,991
11826,10533,1605
7055,5675,809
3624,2797,385
3300,2154,250
3402,2153,250
8273,7058,1013
15042,14069,2405
6822,5912,957
3903,3189,385
8101,6734,1013
4596,3053,391
7290,6141,909
11613,10486,1452
4423,3602,383
4991,4252,383
3389,2270,298
5510,4231,573
2321,1213,113
5633,4367,637
3696,2687,298
5687,4519,628
7254,5738,853
8380,7428,1014
5024,4177,541
4852,3710,488
4873,3868,488
2986,2516,180
3581,3117,221
4148,3385,277
3084,2471,180
3414,2778,221
3462,2760,218
4029,3116,259
3819,3291,218
3657,2947,259
7895,6560,1085
2546,1430,113
7491,6183,771
17289,16036,2405
2158,916,73
4057,3045,359
3858,2716,359
8810,6868,834
8738,7312,909
8187,7195,991
7927,6507,862
10515,9041,1199
7213,6272,836
7714,6774,1062
5787,4600,602
5794,4381,602
4226,3411,277
9443,7994,1199
3317,2166,196
3262,2063,196
5967,4701,604
5968,4775,604
7175,6040,804
7452,6043,862
6551,5577,804
11797,10804,1436
10956,9266,1199
8538,7022,845
4005,2687,313
7122,5774,771
3620,2319,260
4176,2938,313
9153,7256,911
3459,2378,260
5250,3772,411
4969,3842,524
5301,4221,524
7981,6596,862
6043,4752,628
7646,6538,819
10422,9538,1436
11045,10040,1506
8756,7837,1062
7650,6518,846
7291,6116,846
4908,3666,456
4928,3870,456
6721,5439,679
4650,3997,283
4967,4173,283
6026,4465,411
8034,6697,862
13473,12057,1754
5925,5020,639
7435,5574,680
8131,6522,888
3628,2361,230
7318,5874,679
15159,13613,1754
13214,11857,1754
4901,3714,391
4712,3375,391
6287,4895,533
2586,1004,73
5074,3693,391
7001,5698,737
5026,3388,391
8997,7920,991
6236,4893,628
6494,5427,770
5056,4043,541
6539,5231,680
3783,2394,230
7145,5745,770
13841,12315,1709
14806,12329,1558
8107,6675,852
5847,4484,517
5161,3867,455
5016,3876,455
9564,7626,888
10453,8838,1069
8328,6792,862
12421,10955,1546
8465,6953,862
8505,6554,862
6297,5165,628
9123,7349,888
6304,4929,576
6493,5029,576
6931,5169,602
15395,13558,1709
6345,4832,602
7735,6194,737
6413,4997,563
9183,7736,852
6267,4689,517
5173,3230,353
6731,5191,563
6407,4171,438
4705,3055,353
5353,3649,438
15537,13970,1754
6760,5305,628
9390,7943,1069
6778,5335,628
9072,7043,862
9752,7989,967
6533,5034,628
14070,12267,1546
9190,7191,967
6427,4960,628
4094,2838,303
4570,3216,303
13170,11634,1558
10942,9927,1154
9232,7871,957
10544,9049,1024
8358,6969,770
16688,14982,1754
