UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,FREIGHT
6725,11292,14689,6210
6003,11292,14771,0
6299,10140,11292,35966
6299,11711,11292,21747
7041,11292,11292,0
7041,12094,11292,0
7041,14783,11292,0
6700,10372,11292,0
6700,10423,11292,0
6700,11447,11292,0
6700,12992,11292,0
6700,13029,11066,0
0A875,11292,12953,118
0A875,11292,11066,1536
0A875,11292,11292,262
0A875,11292,10627,70
0A875,11292,11413,17922
0A875,11697,13244,1186
0A875,13487,11413,102
0A875,13495,11122,738
0A875,13871,11109,171
0A875,14057,14570,848
0A875,14524,12094,116
0A875,14683,13871,1894
0A875,14689,14457,31
6725,11042,11292,7027
6725,11292,11292,21316
6725,11292,11292,1479
6003,11292,11292,0
6460,10627,10140,0
6460,11292,11298,0
6200,10140,11638,35960
6200,11109,14107,576847
6200,11711,11292,21715
6200,12094,11292,11749
6200,13244,11292,824702
6910,11292,11292,552896
7041,11292,10372,0
7041,11292,11292,0
7041,11292,10713,0
6700,10140,12441,0
6700,10397,11292,0
6700,10800,11292,0
6700,11193,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,10713,0
6700,11775,10994,0
6700,13198,11292,0
6700,13264,11292,0
6700,14698,11292,0
6700,14771,11292,0
0A875,10713,11292,660
0A875,11292,15412,3280
0A875,11292,11292,507
0A875,13851,13502,488
0A875,13851,12266,703
0A875,14100,11292,797
0A875,14107,11193,574
0A875,14771,14783,129167
6725,10994,11292,279
6725,11292,11292,3097
6725,11292,14698,745
6725,11433,10372,3409
6725,14730,11292,10538
6725,15376,11292,4522
6003,11066,10423,0
6003,13158,10423,0
6904,11292,11298,0
6904,15412,11697,0
6085,12266,12278,0
6085,13502,12758,0
1260,11193,13830,1529
1260,11292,15304,1
7041,11292,11292,0
7041,12278,11292,0
6700,10800,11292,0
6700,11292,11292,0
6700,12266,11292,0
6700,15370,11292,0
0A875,10713,11292,201
0A875,11292,12451,27
0A875,11292,11292,610
0A875,11292,11292,4871
0A875,11292,11292,493
0A875,11292,11292,388
0A875,11292,13158,1252
0A875,11292,11292,5028
0A875,11292,11292,5719
0A875,11697,11775,491
0A875,12278,11292,229
0A875,12441,12094,219
0A875,12758,12266,5865
0A875,13830,10950,1858
0A875,15370,11292,377
6725,10713,13264,2184
6725,11292,11292,3203
6725,12451,11292,996
6725,13891,11292,2376
6725,14831,10397,1103
6003,10423,10713,0
6003,11292,11057,0
6003,14730,14771,0
6003,15370,11292,0
6460,11292,11292,0
6460,11775,11292,0
6200,11122,11292,40688
6085,11109,11292,0
1177,11292,13851,0
7041,11193,14869,0
6700,11292,15016,0
6700,14262,11109,0
0A875,10721,11292,2585
