PAYLOAD,FREIGHT,MAIL
2564434,4503,4994
2864400,20291,0
887000,0,0
914500,0,0
928000,0,0
2422024,4010,16659
2479722,3928,11047
2509842,10734,21223
2387400,21837,0
3038000,4411,0
2456600,10688,0
2842252,12356,51072
800496,0,0
800496,0,0
2560400,35022,0
3168200,13999,0
822732,0,0
3211600,35520,0
2560400,5058,0
1412808,0,0
2560400,39030,0
833850,0,0
2664200,12305,0
3341800,24442,0
2629600,5589,0
3298400,55543,0
1022000,0,0
3066530,440,0
124800,0,0
346500,0,0
342000,0,0
124800,0,0
2768000,40512,0
2733400,10486,0
2733400,9139,0
3748820,45174,0
3212346,4464,725
2690307,637,6051
3748820,3157,3212
2866677,1578,16856
3444138,3603,26727
2924400,0,0
3092485,277,0
3585830,18223,18816
2732600,3553,7161
1076000,0,0
3322893,6730,52506
2960400,0,0
2733400,15791,0
2769800,1395,0
2837200,4577,0
3358421,455,0
3619205,37088,71452
3653599,3708,16733
2871800,5786,0
2871800,5342,0
2837200,19869,0
2837200,8337,0
2733400,31623,0
2941000,13174,0
2906400,2474,0
3558800,10507,0
2941000,25831,0
3689000,31675,0
1292000,0,0
3429562,16135,33889
1119000,0,0
2941000,6941,0
1119000,0,0
2975600,26897,0
3123876,0,0
3123876,0,0
