FLIGHT_NUMBER,DISTANCE,AIR_TIME,FREIGHT,PASSENGERS,ORIGIN_STATE_ABR,DEST_STATE_ABR,UNIQUE_CARRIER_ENTITY
687,896,759,4,1153,CO,WI,0A875
688,495,495,57,772,CO,OK,0A875
689,1290,1070,608,761,CO,PA,0A875
690,391,444,2692,780,CO,UT,0A875
691,589,568,193,1034,IA,CO,0A875
692,996,836,0,938,OR,CO,0A875
693,533,577,0,895,MO,CO,0A875
694,896,912,10,1158,WI,CO,0A875
695,1558,1460,327,1054,PA,CO,0A875
696,1290,1210,51,807,PA,CO,0A875
697,541,535,1,844,OK,CO,0A875
698,775,769,688,953,TX,CO,6725
699,1201,1165,3842,1150,OH,CO,6725
700,1605,1315,1096,1144,CO,NJ,6725
701,1179,1010,0,944,CO,FL,6725
702,1436,1159,3608,1152,CO,NC,6725
703,1179,1094,0,959,FL,CO,6725
704,541,581,76,928,OK,CO,6725
705,692,759,0,290,IA,CO,6904
706,141,216,0,298,CO,CO,6904
707,483,491,0,294,SD,CO,6904
708,1024,825,433940,0,CO,KY,6910
709,1024,978,579794,0,KY,CO,6910
710,602,665,0,876,CO,AZ,0A050
711,602,665,0,1007,AZ,CO,0A050
712,1201,1167,0,523,CO,OH,7041
713,1069,1243,0,530,KY,CO,6700
714,639,625,0,397,CO,AZ,6700
715,495,579,0,464,OK,CO,6700
716,775,854,393,972,TX,CO,0A875
717,775,822,24,642,CO,TX,0A875
718,1671,1538,500,1038,CO,CT,0A875
719,1123,1149,1089,1017,CO,MI,0A875
720,1703,1695,47,1240,CO,FL,0A875
721,1620,1542,62,945,CO,NY,0A875
722,826,791,24,1016,CO,WI,0A875
723,680,731,4189,1072,CO,MN,0A875
724,1024,1118,55,1323,CO,WA,0A875
725,541,593,8,922,CO,OK,0A875
726,996,1000,0,812,OR,CO,0A875
727,1062,1143,458,1170,LA,CO,0A875
728,391,474,305,1232,UT,CO,0A875
729,836,955,1918,1209,CO,WA,6725
730,883,968,817,1010,CO,TX,6725
731,862,924,1092,1105,CO,CA,6725
732,495,559,1610,986,CO,OK,6725
733,602,704,1273,1099,CO,AZ,6725
734,967,1063,2813,1062,CO,CA,6725
735,628,689,208,1048,NV,CO,6725
736,533,670,284,1056,MO,CO,6725
737,1436,1567,1163,1313,NC,CO,6725
738,1014,1096,0,525,TN,CO,6003
739,964,1146,0,917,CO,CA,6460
740,964,933,0,905,CA,CO,6460
741,957,1011,147267,0,CO,CA,6200
742,152,315,0,371,CO,CO,6904
743,152,290,0,245,CO,CO,6904
744,141,248,0,344,CO,CO,6904
745,543,702,0,1299,AZ,CO,6035
746,543,696,0,1257,CO,AZ,6035
747,604,786,0,1268,CO,NV,6035
748,655,852,0,1267,CO,CA,6035
749,604,738,0,1272,NV,CO,6035
750,655,804,0,1184,CA,CO,6035
751,665,942,0,308,MO,CO,1158
752,665,768,0,344,CO,MO,1158
753,692,842,0,356,CO,IA,6700
754,752,981,0,651,CO,MT,6700
755,495,659,0,409,CO,OK,6700
756,495,624,0,549,CO,OK,6700
757,752,944,0,570,MT,CO,6700
758,212,363,0,486,CO,CO,6700
759,964,1178,0,630,OR,CO,6700
760,1491,1909,38,1215,MD,CO,0A875
761,977,1067,404,1254,CO,IN,0A875
762,991,1173,81,1266,CO,OR,0A875
763,1123,1339,679,1185,MI,CO,0A875
764,996,1068,3,1144,OR,CO,0A875
765,977,1228,395,1259,IN,CO,0A875
766,826,1076,224,1183,WI,CO,0A875
767,1199,1340,882,1056,CO,GA,6725
768,1671,1684,8211,1296,CO,CT,6725
769,977,1227,2897,1501,IN,CO,6725
770,680,876,3031,1369,MN,CO,6725
771,794,1041,219,1151,TX,CO,6725
772,1476,1593,0,1275,CO,VA,6460
773,1024,1259,297183,0,KY,CO,6910
774,1154,1699,0,724,OH,CO,6700
775,850,1252,0,444,CO,CA,6700
776,1154,1482,0,690,CO,OH,6700
777,639,991,0,667,CO,AZ,6700
778,770,1176,0,486,MO,CO,6700
779,1671,2224,178,1341,CT,CO,0A875
780,1491,1727,509,1358,CO,MD,0A875
781,589,723,1925,1248,CO,IA,0A875
782,483,688,56,1089,CO,SD,0A875
783,776,1050,131,1073,CO,CA,0A875
784,589,856,110,1261,IA,CO,0A875
785,1452,1971,501,1472,VA,CO,0A875
786,1062,1403,259,1663,LA,CO,0A875
787,819,1031,255,1618,CA,CO,0A875
788,776,1008,0,916,CA,CO,0A875
789,1201,1408,3391,1332,CO,OH,6725
790,628,888,321,1178,CO,NV,6725
791,680,885,1259,1691,CO,MN,6725
792,1024,1336,2736,1359,CO,KY,6725
793,495,737,1541,1336,OK,CO,6725
794,1024,1450,2418,1329,KY,CO,6725
795,967,1225,5484,1366,CA,CO,6725
796,809,1161,0,670,TX,CO,6003
797,1476,1999,0,1287,VA,CO,6460
798,589,769,0,1366,CO,IA,6460
799,589,835,0,1436,IA,CO,6460
800,872,1882,247774,0,CO,TN,6200
801,872,1179,932323,0,TN,CO,6200
802,541,758,0,403,CO,OK,6904
803,541,852,0,422,OK,CO,6904
804,218,60,0,13,CO,CO,6932
805,218,52,0,11,CO,CO,6932
806,328,831,0,77,CO,AZ,1177
807,328,718,0,64,AZ,CO,1177
808,1620,2190,1607,1341,CO,NY,1260
809,495,854,0,477,OK,CO,6700
810,1491,2261,78,1750,MD,CO,0A875
811,996,1491,147,1180,CO,OR,0A875
812,1452,1848,384,1532,CO,VA,0A875
813,1062,1304,763,1609,CO,LA,0A875
814,472,680,0,1689,CO,NE,0A875
815,819,1186,351,1761,CO,CA,0A875
816,909,1388,1621,1619,CO,CA,0A875
817,483,768,318,1216,SD,CO,0A875
818,1452,1860,2751,1806,CO,VA,6725
819,862,1274,9031,1499,CA,CO,6725
820,533,892,88,1838,MO,CO,6725
821,602,900,1139,1517,AZ,CO,6725
822,834,1308,0,1388,CO,CA,6460
