AIRCRAFT_CONFIG,SEATS,PASSENGERS
1,20449,18170
1,22923,21215
1,24164,22682
1,23558,22113
1,24026,22892
1,26250,24270
1,21593,18575
1,22594,20414
1,22737,21532
1,24600,21654
1,24310,23055
1,24739,23511
1,11970,7698
1,12180,9173
1,25740,24267
1,33660,30654
1,33286,30124
1,27027,24681
1,30030,27616
1,30459,27878
1,30888,28061
1,35808,33287
1,41399,37440
1,37646,34857
1,36465,31619
1,46828,43885
